v_new,v_old,count,fuel_old,fuel_new,area_ha
5,5,440540,PCH5,PCH5,39648.6
1,5,323519,PCH5,PCH1,29116.71
6,16,303559,BN03,MT01,27320.31
33,33,292168,SV02,SV02,26295.12
7,7,264101,MT02,MT02,23769.09
1,7,240372,MT02,PCH1,21633.48
7,19,199762,PL01,MT02,17978.58
1,33,156013,SV02,PCH1,14041.17
1,19,144025,PL01,PCH1,12962.25
1,16,125817,BN03,PCH1,11323.53
1,2,110146,PCH2,PCH1,9913.14
1,11,109693,MT06,PCH1,9872.37
6,19,102638,PL01,MT01,9237.42
12,16,82102,BN03,MT07,7389.18
1,17,78928,BN04,PCH1,7103.52
7,16,76723,BN03,MT02,6905.07
33,5,64310,PCH5,SV02,5787.9
16,16,59045,BN03,BN03,5314.05
6,17,58899,BN04,MT01,5300.91
6,7,54559,MT02,MT01,4910.31
1,1,48995,PCH1,PCH1,4409.55
7,11,43000,MT06,MT02,3870
6,24,42835,PL06,MT01,3855.15
1,34,41168,SV03,PCH1,3705.12
5,2,40208,PCH2,PCH5,3618.72
32,32,37882,SV01,SV01,3409.38
34,34,36346,SV03,SV03,3271.14
7,17,35812,BN04,MT02,3223.08
5,33,34051,SV02,PCH5,3064.59
12,34,33308,SV03,MT07,2997.72
7,1,32927,PCH1,MT02,2963.43
24,16,30399,BN03,PL06,2735.91
2,5,29799,PCH5,PCH2,2681.91
7,34,28944,SV03,MT02,2604.96
21,16,24517,BN03,PL03,2206.53
12,17,24265,BN04,MT07,2183.85
5,3,23346,PCH3,PCH5,2101.14
12,19,22588,PL01,MT07,2032.92
1,24,21729,PL06,PCH1,1955.61
6,6,19443,MT01,MT01,1749.87
33,34,19051,SV03,SV02,1714.59
5,16,17975,BN03,PCH5,1617.75
1,3,15456,PCH3,PCH1,1391.04
2,2,14667,PCH2,PCH2,1320.03
28,34,14472,SV03,PL10,1302.48
7,2,13552,PCH2,MT02,1219.68
5,32,13388,SV01,PCH5,1204.92
7,33,13046,SV02,MT02,1174.14
5,29,12376,PL11,PCH5,1113.84
7,24,12164,PL06,MT02,1094.76
12,7,11891,MT02,MT07,1070.19
1,29,11357,PL11,PCH1,1022.13
5,17,11206,BN04,PCH5,1008.54
1,20,10434,PL02,PCH1,939.06
1,21,10143,PL03,PCH1,912.87
1,32,9594,SV01,PCH1,863.46
6,34,9528,SV03,MT01,857.52
24,34,9242,SV03,PL06,831.78
1,22,8803,PL04,PCH1,792.27
6,29,8760,PL11,MT01,788.4
32,34,8521,SV03,SV01,766.89
16,17,8399,BN04,BN03,755.91
33,19,8057,PL01,SV02,725.13
28,16,8013,BN03,PL10,721.17
14,5,7966,PCH5,BN01,716.94
5,11,7732,MT06,PCH5,695.88
6,1,7637,PCH1,MT01,687.33
6,20,7472,PL02,MT01,672.48
6,18,7224,BN05,MT01,650.16
7,22,7155,PL04,MT02,643.95
33,32,7144,SV01,SV02,642.96
5,22,7008,PL04,PCH5,630.72
6,2,7000,PCH2,MT01,630
28,27,6849,PL09,PL10,616.41
16,19,6753,PL01,BN03,607.77
2,11,6631,MT06,PCH2,596.79
31,34,6452,SV03,DX02,580.68
14,16,6444,BN03,BN01,579.96
6,33,6419,SV02,MT01,577.71
28,19,6387,PL01,PL10,574.83
21,17,6018,BN04,PL03,541.62
6,12,5984,MT07,MT01,538.56
6,23,5978,PL05,MT01,538.02
7,5,5878,PCH5,MT02,529.02
6,22,5780,PL04,MT01,520.2
28,33,5503,SV02,PL10,495.27
24,19,5480,PL01,PL06,493.2
12,22,5476,PL04,MT07,492.84
33,16,5434,BN03,SV02,489.06
7,30,5393,DX01,MT02,485.37
5,20,5341,PL02,PCH5,480.69
6,21,5326,PL03,MT01,479.34
14,19,5263,PL01,BN01,473.67
7,29,5179,PL11,MT02,466.11
33,2,5171,PCH2,SV02,465.39
28,7,5162,MT02,PL10,464.58
14,33,5115,SV02,BN01,460.35
3,5,5020,PCH5,PCH3,451.8
12,29,4945,PL11,MT07,445.05
5,19,4908,PL01,PCH5,441.72
14,7,4889,MT02,BN01,440.01
5,21,4742,PL03,PCH5,426.78
1,18,4663,BN05,PCH1,419.67
5,6,4636,MT01,PCH5,417.24
28,29,4569,PL11,PL10,411.21
21,29,4297,PL11,PL03,386.73
7,23,4224,PL05,MT02,380.16
16,5,4135,PCH5,BN03,372.15
31,5,4129,PCH5,DX02,371.61
33,7,4082,MT02,SV02,367.38
6,5,3996,PCH5,MT01,359.64
12,24,3983,PL06,MT07,358.47
5,7,3775,MT02,PCH5,339.75
16,24,3670,PL06,BN03,330.3
1,30,3639,DX01,PCH1,327.51
21,27,3568,PL09,PL03,321.12
16,29,3538,PL11,BN03,318.42
33,11,3532,MT06,SV02,317.88
1,6,3431,MT01,PCH1,308.79
33,17,3356,BN04,SV02,302.04
24,7,3343,MT02,PL06,300.87
6,25,3310,PL07,MT01,297.9
2,19,3308,PL01,PCH2,297.72
7,21,3303,PL03,MT02,297.27
16,21,3102,PL03,BN03,279.18
12,12,3094,MT07,MT07,278.46
6,26,3091,PL08,MT01,278.19
24,17,3014,BN04,PL06,271.26
12,20,2983,PL02,MT07,268.47
5,27,2954,PL09,PCH5,265.86
1,23,2793,PL05,PCH1,251.37
19,19,2775,PL01,PL01,249.75
14,11,2764,MT06,BN01,248.76
16,33,2727,SV02,BN03,245.43
6,11,2687,MT06,MT01,241.83
27,16,2662,BN03,PL09,239.58
28,2,2518,PCH2,PL10,226.62
2,33,2386,SV02,PCH2,214.74
12,6,2365,MT01,MT07,212.85
23,16,2338,BN03,PL05,210.42
14,17,2327,BN04,BN01,209.43
21,21,2294,PL03,PL03,206.46
3,3,2213,PCH3,PCH3,199.17
16,7,2185,MT02,BN03,196.65
5,18,2132,BN05,PCH5,191.88
28,21,2128,PL03,PL10,191.52
21,22,2116,PL04,PL03,190.44
19,16,2074,BN03,PL01,186.66
24,24,2050,PL06,PL06,184.5
28,17,1975,BN04,PL10,177.75
33,3,1958,PCH3,SV02,176.22
7,4,1944,PCH4,MT02,174.96
32,33,1930,SV02,SV01,173.7
21,19,1919,PL01,PL03,172.71
5,28,1823,PL10,PCH5,164.07
1,8,1812,MT03,PCH1,163.08
12,1,1806,PCH1,MT07,162.54
12,26,1768,PL08,MT07,159.12
24,29,1753,PL11,PL06,157.77
7,20,1699,PL02,MT02,152.91
5,24,1662,PL06,PCH5,149.58
12,33,1612,SV02,MT07,145.08
16,20,1592,PL02,BN03,143.28
34,19,1579,PL01,SV03,142.11
12,21,1547,PL03,MT07,139.23
1,9,1535,MT04,PCH1,138.15
21,24,1530,PL06,PL03,137.7
7,18,1521,BN05,MT02,136.89
1,4,1520,PCH4,PCH1,136.8
20,16,1508,BN03,PL02,135.72
33,20,1496,PL02,SV02,134.64
31,33,1487,SV02,DX02,133.83
1,27,1479,PL09,PCH1,133.11
21,28,1458,PL10,PL03,131.22
3,2,1431,PCH2,PCH3,128.79
33,29,1407,PL11,SV02,126.63
6,27,1382,PL09,MT01,124.38
29,16,1340,BN03,PL11,120.6
5,25,1312,PL07,PCH5,118.08
17,16,1303,BN03,BN04,117.27
7,9,1289,MT04,MT02,116.01
21,20,1281,PL02,PL03,115.29
23,5,1253,PCH5,PL05,112.77
2,7,1249,MT02,PCH2,112.41
2,3,1238,PCH3,PCH2,111.42
24,5,1229,PCH5,PL06,110.61
24,22,1219,PL04,PL06,109.71
28,28,1209,PL10,PL10,108.81
24,21,1205,PL03,PL06,108.45
14,2,1198,PCH2,BN01,107.82
5,8,1164,MT03,PCH5,104.76
23,17,1131,BN04,PL05,101.79
31,7,1116,MT02,DX02,100.44
16,22,1088,PL04,BN03,97.92
33,6,1064,MT01,SV02,95.76
6,30,1058,DX01,MT01,95.22
21,7,1052,MT02,PL03,94.68
2,16,1011,BN03,PCH2,90.99
28,5,1011,PCH5,PL10,90.99
7,13,1000,MT08,MT02,90
16,28,997,PL10,BN03,89.73
32,5,983,PCH5,SV01,88.47
28,11,968,MT06,PL10,87.12
21,2,961,PCH2,PL03,86.49
2,34,959,SV03,PCH2,86.31
1,13,943,MT08,PCH1,84.87
24,20,931,PL02,PL06,83.79
14,1,928,PCH1,BN01,83.52
33,18,921,BN05,SV02,82.89
28,20,918,PL02,PL10,82.62
16,34,904,SV03,BN03,81.36
1,25,900,PL07,PCH1,81
27,19,894,PL01,PL09,80.46
31,2,875,PCH2,DX02,78.75
21,1,861,PCH1,PL03,77.49
1,12,854,MT07,PCH1,76.86
7,6,849,MT01,MT02,76.41
2,20,848,PL02,PCH2,76.32
19,7,847,MT02,PL01,76.23
6,8,841,MT03,MT01,75.69
6,3,818,PCH3,MT01,73.62
23,19,787,PL01,PL05,70.83
16,25,784,PL07,BN03,70.56
31,19,778,PL01,DX02,70.02
33,21,765,PL03,SV02,68.85
1,28,753,PL10,PCH1,67.77
24,2,739,PCH2,PL06,66.51
5,4,730,PCH4,PCH5,65.7
34,7,730,MT02,SV03,65.7
16,27,729,PL09,BN03,65.61
6,13,720,MT08,MT01,64.8
21,33,719,SV02,PL03,64.71
21,11,714,MT06,PL03,64.26
24,13,713,MT08,PL06,64.17
24,33,713,SV02,PL06,64.17
16,1,708,PCH1,BN03,63.72
28,1,691,PCH1,PL10,62.19
5,1,683,PCH1,PCH5,61.47
33,1,683,PCH1,SV02,61.47
3,33,676,SV02,PCH3,60.84
24,1,668,PCH1,PL06,60.12
23,7,667,MT02,PL05,60.03
5,23,661,PL05,PCH5,59.49
19,5,650,PCH5,PL01,58.5
12,25,631,PL07,MT07,56.79
33,24,626,PL06,SV02,56.34
23,33,615,SV02,PL05,55.35
14,29,611,PL11,BN01,54.99
25,16,611,BN03,PL07,54.99
19,17,609,BN04,PL01,54.81
24,27,605,PL09,PL06,54.45
16,12,595,MT07,BN03,53.55
2,21,584,PL03,PCH2,52.56
14,24,574,PL06,BN01,51.66
14,34,573,SV03,BN01,51.57
16,6,556,MT01,BN03,50.04
6,32,554,SV01,MT01,49.86
24,23,541,PL05,PL06,48.69
16,32,534,SV01,BN03,48.06
28,24,532,PL06,PL10,47.88
5,12,528,MT07,PCH5,47.52
24,11,527,MT06,PL06,47.43
6,9,524,MT04,MT01,47.16
1,26,522,PL08,PCH1,46.98
19,1,519,PCH1,PL01,46.71
31,11,519,MT06,DX02,46.71
16,11,510,MT06,BN03,45.9
24,6,507,MT01,PL06,45.63
19,33,503,SV02,PL01,45.27
7,8,500,MT03,MT02,45
28,22,488,PL04,PL10,43.92
2,32,486,SV01,PCH2,43.74
21,34,485,SV03,PL03,43.65
5,26,479,PL08,PCH5,43.11
23,29,474,PL11,PL05,42.66
21,5,440,PCH5,PL03,39.6
6,4,437,PCH4,MT01,39.33
14,3,415,PCH3,BN01,37.35
24,25,408,PL07,PL06,36.72
7,25,397,PL07,MT02,35.73
21,32,395,SV01,PL03,35.55
23,24,388,PL06,PL05,34.92
23,20,385,PL02,PL05,34.65
7,27,380,PL09,MT02,34.2
1,14,376,BN01,PCH1,33.84
12,23,375,PL05,MT07,33.75
14,20,375,PL02,BN01,33.75
12,28,373,PL10,MT07,33.57
31,32,373,SV01,DX02,33.57
24,28,371,PL10,PL06,33.39
33,27,371,PL09,SV02,33.39
14,32,370,SV01,BN01,33.3
33,8,366,MT03,SV02,32.94
6,28,362,PL10,MT01,32.58
20,19,357,PL01,PL02,32.13
34,16,345,BN03,SV03,31.05
5,34,337,SV03,PCH5,30.33
23,22,335,PL04,PL05,30.15
21,25,325,PL07,PL03,29.25
7,3,324,PCH3,MT02,29.16
27,17,323,BN04,PL09,29.07
16,3,320,PCH3,BN03,28.8
21,6,319,MT01,PL03,28.71
7,26,311,PL08,MT02,27.99
16,26,311,PL08,BN03,27.99
25,17,308,BN04,PL07,27.72
16,23,307,PL05,BN03,27.63
33,22,301,PL04,SV02,27.09
5,9,298,MT04,PCH5,26.82
27,34,297,SV03,PL09,26.73
16,2,292,PCH2,BN03,26.28
21,23,281,PL05,PL03,25.29
21,3,277,PCH3,PL03,24.93
14,21,274,PL03,BN01,24.66
31,17,261,BN04,DX02,23.49
23,11,258,MT06,PL05,23.22
28,32,258,SV01,PL10,23.22
12,27,241,PL09,MT07,21.69
33,28,240,PL10,SV02,21.6
28,26,239,PL08,PL10,21.51
21,18,236,BN05,PL03,21.24
24,12,233,MT07,PL06,20.97
21,12,232,MT07,PL03,20.88
32,2,229,PCH2,SV01,20.61
19,34,224,SV03,PL01,20.16
7,32,221,SV01,MT02,19.89
2,30,216,DX01,PCH2,19.44
28,30,215,DX01,PL10,19.35
4,3,214,PCH3,PCH4,19.26
24,18,214,BN05,PL06,19.26
23,2,209,PCH2,PL05,18.81
3,32,208,SV01,PCH3,18.72
28,18,207,BN05,PL10,18.63
31,16,204,BN03,DX02,18.36
7,12,202,MT07,MT02,18.18
16,18,190,BN05,BN03,17.1
2,1,189,PCH1,PCH2,17.01
17,17,185,BN04,BN04,16.65
6,14,184,BN01,MT01,16.56
23,21,184,PL03,PL05,16.56
20,20,182,PL02,PL02,16.38
18,16,181,BN03,BN05,16.29
28,23,181,PL05,PL10,16.29
32,16,181,BN03,SV01,16.29
23,34,177,SV03,PL05,15.93
31,24,177,PL06,DX02,15.93
33,25,177,PL07,SV02,15.93
12,18,176,BN05,MT07,15.84
20,29,176,PL11,PL02,15.84
2,6,174,MT01,PCH2,15.66
7,14,171,BN01,MT02,15.39
7,28,168,PL10,MT02,15.12
18,17,164,BN04,BN05,14.76
19,29,164,PL11,PL01,14.76
14,6,157,MT01,BN01,14.13
29,19,157,PL01,PL11,14.13
24,26,156,PL08,PL06,14.04
19,2,155,PCH2,PL01,13.95
21,26,155,PL08,PL03,13.95
19,20,154,PL02,PL01,13.86
34,22,149,PL04,SV03,13.41
5,30,148,DX01,PCH5,13.32
3,11,147,MT06,PCH3,13.23
12,2,147,PCH2,MT07,13.23
31,29,144,PL11,DX02,12.96
3,19,142,PL01,PCH3,12.78
4,5,141,PCH5,PCH4,12.69
19,32,141,SV01,PL01,12.69
16,8,139,MT03,BN03,12.51
19,22,138,PL04,PL01,12.42
23,1,137,PCH1,PL05,12.33
34,33,135,SV02,SV03,12.15
20,24,134,PL06,PL02,12.06
32,11,133,MT06,SV01,11.97
23,23,130,PL05,PL05,11.7
9,16,128,BN03,MT04,11.52
23,6,127,MT01,PL05,11.43
20,17,126,BN04,PL02,11.34
29,17,125,BN04,PL11,11.25
30,7,124,MT02,DX01,11.16
19,21,123,PL03,PL01,11.07
29,29,122,PL11,PL11,10.98
20,34,120,SV03,PL02,10.8
4,19,119,PL01,PCH4,10.71
32,17,115,BN04,SV01,10.35
20,21,114,PL03,PL02,10.26
2,24,109,PL06,PCH2,9.81
14,28,109,PL10,BN01,9.81
23,28,109,PL10,PL05,9.81
27,33,108,SV02,PL09,9.72
28,6,108,MT01,PL10,9.72
29,24,107,PL06,PL11,9.63
2,17,105,BN04,PCH2,9.45
14,22,105,PL04,BN01,9.45
14,18,104,BN05,BN01,9.36
27,20,103,PL02,PL09,9.27
5,14,102,BN01,PCH5,9.18
28,14,101,BN01,PL10,9.09
32,19,99,PL01,SV01,8.91
24,32,97,SV01,PL06,8.73
2,22,91,PL04,PCH2,8.19
22,16,87,BN03,PL04,7.83
4,16,86,BN03,PCH4,7.74
14,23,86,PL05,BN01,7.74
23,18,86,BN05,PL05,7.74
20,33,85,SV02,PL02,7.65
23,27,85,PL09,PL05,7.65
31,1,83,PCH1,DX02,7.47
4,2,82,PCH2,PCH4,7.38
17,19,81,PL01,BN04,7.29
28,9,80,MT04,PL10,7.2
12,11,79,MT06,MT07,7.11
19,11,79,MT06,PL01,7.11
27,6,79,MT01,PL09,7.11
32,18,79,BN05,SV01,7.11
33,9,78,MT04,SV02,7.02
2,12,77,MT07,PCH2,6.93
21,8,76,MT03,PL03,6.84
19,27,74,PL09,PL01,6.66
12,30,72,DX01,MT07,6.48
19,24,72,PL06,PL01,6.48
27,24,71,PL06,PL09,6.39
2,29,66,PL11,PCH2,5.94
14,30,66,DX01,BN01,5.94
24,3,64,PCH3,PL06,5.76
2,4,62,PCH4,PCH2,5.58
5,31,61,DX02,PCH5,5.49
33,26,61,PL08,SV02,5.49
1,31,60,DX02,PCH1,5.4
4,33,60,SV02,PCH4,5.4
20,28,60,PL10,PL02,5.4
